Date,Open,High,Low,Close,Volume,Adj Close
2017-02-24,10.73,10.73,10.73,10.73,000,10.73
2017-02-23,10.69,10.69,10.69,10.69,000,10.69
2017-02-22,10.68,10.68,10.68,10.68,000,10.68
2017-02-21,10.67,10.67,10.67,10.67,000,10.67
2017-02-17,10.67,10.67,10.67,10.67,000,10.67
2017-02-16,10.66,10.66,10.66,10.66,000,10.66
2017-02-15,10.63,10.63,10.63,10.63,000,10.63
2017-02-14,10.65,10.65,10.65,10.65,000,10.65
2017-02-13,10.67,10.67,10.67,10.67,000,10.67
2017-02-10,10.68,10.68,10.68,10.68,000,10.68
2017-02-09,10.68,10.68,10.68,10.68,000,10.68
2017-02-08,10.72,10.72,10.72,10.72,000,10.72
2017-02-07,10.69,10.69,10.69,10.69,000,10.69
2017-02-06,10.68,10.68,10.68,10.68,000,10.68
2017-02-03,10.65,10.65,10.65,10.65,000,10.65
2017-02-02,10.64,10.64,10.64,10.64,000,10.64
2017-02-01,10.64,10.64,10.64,10.64,000,10.64
2017-01-31,10.66,10.66,10.66,10.66,000,10.66
2017-01-30,10.64,10.64,10.64,10.64,000,10.619
2017-01-27,10.64,10.64,10.64,10.64,000,10.619
2017-01-26,10.63,10.63,10.63,10.63,000,10.60902
2017-01-25,10.62,10.62,10.62,10.62,000,10.599039
2017-01-24,10.65,10.65,10.65,10.65,000,10.62898
2017-01-23,10.68,10.68,10.68,10.68,000,10.658921
2017-01-20,10.65,10.65,10.65,10.65,000,10.62898
2017-01-19,10.64,10.64,10.64,10.64,000,10.619
2017-01-18,10.66,10.66,10.66,10.66,000,10.63896
2017-01-17,10.72,10.72,10.72,10.72,000,10.698842
2017-01-13,10.68,10.68,10.68,10.68,000,10.658921
2017-01-12,10.70,10.70,10.70,10.70,000,10.678881
2017-01-11,10.70,10.70,10.70,10.70,000,10.678881
2017-01-10,10.69,10.69,10.69,10.69,000,10.668901
2017-01-09,10.70,10.70,10.70,10.70,000,10.678881
2017-01-06,10.67,10.67,10.67,10.67,000,10.648941
2017-01-05,10.71,10.71,10.71,10.71,000,10.688862
2017-01-04,10.66,10.66,10.66,10.66,000,10.63896
2017-01-03,10.65,10.65,10.65,10.65,000,10.62898
2016-12-30,10.65,10.65,10.65,10.65,000,10.62898
2016-12-29,10.63,10.63,10.63,10.63,000,10.588061
2016-12-28,10.61,10.61,10.61,10.61,000,10.568139
2016-12-27,10.58,10.58,10.58,10.58,000,10.538258
2016-12-23,10.59,10.59,10.59,10.59,000,10.548219
2016-12-22,10.59,10.59,10.59,10.59,000,10.548219
2016-12-21,10.59,10.59,10.59,10.59,000,10.548219
2016-12-20,10.58,10.58,10.58,10.58,000,10.533278
2016-12-19,10.59,10.59,10.59,10.59,000,10.543234
2016-12-16,10.56,10.56,10.56,10.56,000,10.513367
2016-12-15,10.55,10.55,10.55,10.55,000,10.503411
2016-12-14,10.57,10.57,10.57,10.57,000,10.523322
2016-12-13,10.63,10.63,10.63,10.63,000,10.583058
2016-12-12,10.62,10.62,10.62,10.62,000,10.573101
2016-12-09,10.62,10.62,10.62,10.62,000,10.573101
2016-12-08,10.66,10.66,10.66,10.66,000,10.612925
2016-12-07,10.69,10.69,10.69,10.69,000,10.642792
2016-12-06,10.66,10.66,10.66,10.66,000,10.612925
2016-12-05,10.65,10.65,10.65,10.65,000,10.602969
2016-12-02,10.66,10.66,10.66,10.66,000,10.612925
2016-12-01,10.63,10.63,10.63,10.63,000,10.583058
2016-11-30,10.65,10.65,10.65,10.65,000,10.602969
2016-11-29,10.70,10.70,10.70,10.70,000,10.632836
2016-11-28,10.69,10.69,10.69,10.69,000,10.622899
2016-11-25,10.65,10.65,10.65,10.65,000,10.58315
2016-11-23,10.66,10.66,10.66,10.66,000,10.593087
2016-11-22,10.68,10.68,10.68,10.68,000,10.612962
2016-11-21,10.68,10.68,10.68,10.68,000,10.612962
2016-11-18,10.68,10.68,10.68,10.68,000,10.612962
2016-11-17,10.71,10.71,10.71,10.71,000,10.642774
